Date,Open,High,Low,Close,Volume
2018-03-27,300,326,283,300,16469
2018-03-28,316,317,307,316,12154
2018-03-29,311,320,311,311,8252
2018-04-01,318,320,308,318,6979
2018-04-02,313,318,310,313,6267
2018-04-03,314,318,310,314,3431
2018-04-04,315,326,315,315,12813
2018-04-05,325,335,321,325,22167
2018-04-08,331,348,331,331,17000
2018-04-09,340,346,334,340,13810
2018-04-10,335,337,325,335,6099
2018-04-11,334,335,328,334,5135
2018-04-12,335,340,332,335,9067
2018-04-15,337,340,326,337,7648
2018-04-16,340,341,335,340,5765
2018-04-17,338,343,336,338,17345
2018-04-18,337,354,337,337,17497
2018-04-19,345,353,347,345,24467
2018-04-22,351,370,352,351,36790
2018-04-23,369,382,360,369,39505
2018-04-24,360,365,345,360,16417
2018-04-25,359,360,351,359,10118
2018-04-26,352,354,345,352,10047
2018-04-29,348,348,337,348,10608
2018-05-02,344,342,338,344,5447
2018-05-03,341,352,343,341,9858
2018-05-06,346,346,343,346,9671
2018-05-07,343,345,339,343,6251
2018-05-08,343,343,340,343,5181
2018-05-09,343,347,344,343,6849
2018-05-10,344,346,337,344,11575
2018-05-14,343,344,338,343,4201
2018-05-15,341,342,337,341,2916
2018-05-16,339,344,337,339,3039
2018-05-17,341,343,339,341,6983
2018-05-20,339,344,338,339,9261
2018-05-21,340,340,335,340,10925
2018-05-22,340,340,335,340,6973
2018-05-23,337,340,334,337,8116
2018-05-24,334,338,335,334,5963
2018-05-27,335,335,330,335,6118
2018-05-28,332,347,328,332,5764
2018-05-29,340,342,334,340,9698
2018-05-30,337,340,335,337,11065
2018-05-31,340,340,337,340,8381
2018-06-03,339,336,326,339,14980
2018-06-04,330,331,324,330,6154
2018-06-06,329,340,332,329,3379
2018-06-07,336,336,325,336,3481
2018-06-10,327,327,314,327,9920
2018-06-11,317,326,316,317,5594
2018-06-12,323,323,317,323,3235
2018-06-13,320,322,316,320,3924
2018-06-14,318,324,319,318,3956
2018-06-17,321,320,314,321,1083
2018-06-18,320,320,310,320,6878
2018-06-19,320,322,316,320,3309
2018-06-20,316,314,309,316,5309
2018-06-21,312,316,310,312,9336
2018-06-24,310,317,306,310,3045
2018-06-25,314,316,311,314,3561
2018-06-26,313,313,307,313,7623
2018-06-27,311,312,308,311,1402
2018-06-28,311,312,308,311,10595
2018-07-01,312,311,305,312,5338
2018-07-02,305,308,299,305,4610
2018-07-03,305,308,302,305,3991
2018-07-04,305,310,300,305,8901
2018-07-05,309,318,311,309,2638
2018-07-08,318,321,316,318,9349
2018-07-09,316,316,308,316,4364
2018-07-10,310,314,310,310,47740
2018-07-11,313,317,310,313,40507
2018-07-12,312,315,310,312,12730
2018-07-15,310,314,309,310,2890
2018-07-16,311,315,311,311,32979
2018-07-17,314,317,315,314,1983
2018-07-19,317,317,311,317,6170
2018-07-22,315,316,313,315,8337
2018-07-23,314,317,313,314,3905
2018-07-24,313,318,313,313,7297
2018-07-25,313,315,311,313,6281
2018-07-26,314,315,313,314,5608
2018-07-29,315,319,315,315,9058
2018-07-30,318,319,315,318,5984
2018-07-31,319,321,318,319,7541
2018-08-01,321,323,319,321,9526
2018-08-02,322,327,321,322,5188
2018-08-05,327,328,325,327,3712
2018-08-06,328,328,325,328,9520
2018-08-07,326,326,324,326,4342
2018-08-08,326,327,322,326,1567
2018-08-09,325,325,319,325,5748
2018-08-12,325,322,313,325,3439
2018-08-13,320,319,315,320,2778
2018-08-14,317,324,317,317,6036
2018-08-15,324,343,326,324,37824
2018-08-16,339,345,335,339,25581
2018-08-19,340,344,338,340,21370
2018-08-20,338,340,332,338,14359
2018-08-21,335,335,331,335,8787
2018-08-22,333,344,331,333,3613
2018-08-23,344,338,333,344,7504
2018-08-26,335,337,330,335,3588
2018-08-28,333,335,330,333,7354
2018-08-29,333,334,330,333,6392
2018-08-30,331,335,331,331,9985
2018-09-02,334,340,333,334,9661
2018-09-03,340,347,336,340,15425
2018-09-04,342,347,340,342,17187
2018-09-05,344,362,341,344,29704
2018-09-06,356,368,350,356,33936
2018-09-09,352,353,346,352,7740
2018-09-10,346,346,340,346,4112
2018-09-11,342,350,340,342,4778
2018-09-12,345,355,345,345,12667
2018-09-13,352,359,351,352,20006
2018-09-16,359,377,356,359,53133
2018-09-17,367,370,359,367,21307
2018-09-18,360,362,357,360,9249
2018-09-20,359,364,352,359,9880
2018-09-23,359,364,357,359,19281
2018-09-25,361,373,361,361,48115
2018-09-26,371,375,364,371,18655
2018-09-27,365,370,365,365,14911
2018-09-30,365,366,361,365,11183
2018-10-01,361,362,352,361,21976
